period,indicator_code,indicator_name,value
2025M01,bhusmikro,Consumer_Micro_Index,93.8
2025M02,BBYG,Construction_Confidence,92.9
2025M02,BTOT,Business_Sector_Confidence,100.1
2025M02,KIFI,Economic_Tendency_Indicator,96.4
2025M02,bhus,Consumer_Confidence,94.7
2025M02,bhusmakro,Consumer_Macro_Index,99.0
2025M02,bhusmikro,Consumer_Micro_Index,91.1
2025M03,BBYG,Construction_Confidence,94.5
2025M03,BTOT,Business_Sector_Confidence,97.9
2025M03,KIFI,Economic_Tendency_Indicator,94.4
2025M03,bhus,Consumer_Confidence,89.2
2025M03,bhusmakro,Consumer_Macro_Index,94.4
2025M03,bhusmikro,Consumer_Micro_Index,88.0
2025M04,BBYG,Construction_Confidence,98.2
2025M04,BTOT,Business_Sector_Confidence,99.6
2025M04,KIFI,Economic_Tendency_Indicator,94.9
2025M04,bhus,Consumer_Confidence,82.2
2025M04,bhusmakro,Consumer_Macro_Index,88.2
2025M04,bhusmikro,Consumer_Micro_Index,79.6
2025M05,BBYG,Construction_Confidence,100.5
2025M05,BTOT,Business_Sector_Confidence,99.0
2025M05,KIFI,Economic_Tendency_Indicator,95.5
2025M05,bhus,Consumer_Confidence,84.5
2025M05,bhusmakro,Consumer_Macro_Index,88.2
2025M05,bhusmikro,Consumer_Micro_Index,83.6
2025M06,BBYG,Construction_Confidence,98.6
2025M06,BTOT,Business_Sector_Confidence,95.4
2025M06,KIFI,Economic_Tendency_Indicator,93.3
2025M06,bhus,Consumer_Confidence,86.1
2025M06,bhusmakro,Consumer_Macro_Index,89.9
2025M06,bhusmikro,Consumer_Micro_Index,84.2
2025M07,BBYG,Construction_Confidence,97.1
2025M07,BTOT,Business_Sector_Confidence,97.4
2025M07,KIFI,Economic_Tendency_Indicator,94.2
2025M07,bhus,Consumer_Confidence,90.4
2025M07,bhusmakro,Consumer_Macro_Index,92.8
2025M07,bhusmikro,Consumer_Micro_Index,88.4
2025M08,BBYG,Construction_Confidence,98.0
2025M08,BTOT,Business_Sector_Confidence,100.0
